,VARIETY,...1,Nr.,Abbr..x,Exp..x,Maturity,Mother,Father,COUNTRY.x,Year,Source,heat-sensitivity_combi_HI_starch,Identifier,Sample name,Nr,Stärke % verfügbar,Lfd. #,FAU_Nr,Abbr..y,BREEDER/ Origin,REMARK/ GLKS/ LFL,Maturity/ purpose,parent_genotyped
178,PANAMERA,188,76,PM,Exp_02,6,VOYAGER,FABULA,NLD,2013,NA,tolerant,P1-D10-076-PM,076-PM,76,ja,NA,NA,NA,NA,NA,NA,TRUE
179,PANTHER,189,149,PA,Exp_07,4,BRA 3/35,TIGER,GER,1947,NA,(sensitiv),P2-A07-149-PA,149-PA,149,nein,NA,NA,NA,NA,NA,NA,FALSE
180,PARTNER,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P01-D03-292-PAR-2,292-PAR-2,NA,NA,GBS2_20,292,PAR,NA,LSV 211 Weih,Stärke,FALSE
181,PATERSON'S VIKTORIA,191,150,PV,Exp_07,4,FLUKE seedling,NA,GBR,1863,NA,medium,P2-B07-150-PV,150-PV,150,nein,NA,NA,NA,NA,NA,NA,FALSE
182,PENTLAND DELL,192,77,PD,Exp_02,5,ROSLIN CHANIA,ROSLIN SASUMUA,GBR,1961,NA,medium,P1-E10-077-PD,077-PD,77,ja,NA,NA,NA,NA,NA,NA,FALSE
183,PETRA,193,NA,NA,NA,NA,NA,NA,NA,NA,3 different entries on plantbreeding.wur.nl,NA,P01-D05-336-PE-2,336-PE-2,NA,NA,GBS2_36,336,PE,Bavaria Saat,NA,frühe Speisesorte,FALSE
184,PICASSO,194,78,PI,Exp_02,6,CARA,AUSONIA,NLD,1994,NA,tolerant,P1-F10-078-PI,078-PI,78,ja,NA,NA,NA,NA,NA,NA,FALSE
185,POLONIA,195,151,PO,Exp_07,5,ROSAFOLIA,EARLY ROSE,POL,1942,NA,(sensitiv),P2-C07-151-PO,151-PO,151,nein,NA,NA,NA,NA,NA,NA,FALSE
186,PORTA,196,152,PR,Exp_04,5,HANSA,3312,GER,1970,NA,medium-sensitiv,P2-D07-152-PR,152-PR,152,ja,NA,NA,NA,NA,NA,NA,TRUE
187,PRINCESS,197,181,PC,Exp_06,NA,DUNJA,DUNJA,GER,1998,NA,medium,P2-G10-181-PC,181-PC,181,nein,NA,NA,NA,NA,NA,NA,FALSE
188,QUEEN ANNE,198,NA,NA,NA,NA,SA 99-002-44,GALA,GER,2012,https://www.plantbreeding.wur.nl/PotatoPedigree/lookup.php,NA,P01-E03-297-QA-2,297-QA-2,NA,NA,GBS2_21,297,QA,NA,LSV 207 Weih,mfr,TRUE
189,RAMBO,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P01-F03-298-RAM-2,298-RAM-2,NA,NA,GBS2_22,298,RAM,NA,LSV 211 Weih,Stärke,FALSE
190,RATTE,200,79,RA,Exp_02,6,unknown,NA,GER,1872,NA,tolerant,P1-G10-079-RA,079-RA,79,ja,NA,NA,NA,NA,NA,NA,FALSE
191,REALTA,201,153,RE,Exp_07,4,REAAL,MARITTA,NLD,1962,NA,medium,P2-E07-153-RE,153-RE,153,nein,NA,NA,NA,NA,NA,NA,FALSE
192,RED KING EDWARD,202,154,RK,Exp_07,4,KING EDWARD mutant,NA,GBR,1916,NA,-,P2-F07-154-RK,154-RK,154,nein,NA,NA,NA,NA,NA,NA,FALSE
193,REGINA,203,NA,NA,NA,NA,ALLIANS,BELANA,GER,2009,https://www.plantbreeding.wur.nl/PotatoPedigree/lookup.php,NA,P01-G03-299-REG-2,299-REG-2,NA,NA,GBS2_23,299,REG,NA,LSV 207 Weih,mfr,FALSE
194,RENETA,204,155,RT,Exp_07,4,TRIUMPH,B 53,CZE,1940,NA,sensitiv,P2-G07-155-RT,155-RT,155,nein,NA,NA,NA,NA,NA,NA,FALSE
195,RICHHILL,205,80,RI,Exp_02,6,COSMOS,VALOR,NLD,2009,NA,tolerant,P1-H10-080-RI,080-RI,80,ja,NA,NA,NA,NA,NA,NA,FALSE
196,RODEO,206,81,RD,Exp_02,6,MONDIAL,BIMONDA,NLD,1999,NA,tolerant,P1-A11-081-RD,081-RD,81,ja,NA,NA,NA,NA,NA,NA,TRUE
197,ROSI,207,194,RO,Exp_04,NA,SYMFONIA,MOZART,NLD,2015,NA,medium-sensitiv,P2-D12-194-RO,194-RO,194,ja,NA,NA,NA,NA,NA,NA,TRUE
198,ROTE LÖTSCHENTALER,208,156,RL,Exp_04,4,NA,NA,CHE,1994,NA,sensitiv,P2-H07-156-RL,156-RL,156,ja,NA,NA,NA,NA,NA,NA,FALSE
199,ROTKELCHEN,209,157,RN,Exp_07,5,LI. 1537/48,pollenmixture 362/45 + HILLA,GER,1966,NA,tolerant,P2-A08-157-RN,157-RN,157,nein,NA,NA,NA,NA,NA,NA,FALSE
200,ROYAL,210,82,RY,Exp_02,7,MIDAS,92 BUY 1,DNK,2008,NA,medium,P1-B11-082-RY,082-RY,82,ja,NA,NA,NA,NA,NA,NA,FALSE
201,RUDOLPH,211,83,RU,Exp_03,NA,CHIEFTAIN,STIRLING,GBR,2006,NA,tolerant,P1-C11-083-RU,083-RU,83,ja,NA,NA,NA,NA,NA,NA,FALSE
202,RUSSET BURBANK,212,192,RB,Exp_04,NA,BURBANK mutant ?,NA,USA,1908,NA,sensitiv,P2-B12-192-RB,192-RB,192,ja,NA,NA,NA,NA,NA,NA,FALSE
203,SABABA,213,84,SB,Exp_03,5,HEO 94- 189,EL PASO,NLD,2019,NA,medium,P1-D11-084-SB,084-SB,84,ja,NA,NA,NA,NA,NA,NA,FALSE
